complex_name,dG_kcal_mol,status
"A17-new-ALDH9A1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-6.17,OK
A17-new-ALDH9A1_39_4-nitrobenzaldehyde,-5.85,OK
A17-new-ALDH9A1_3_propylaldehyde,-5.91,OK
A17-new-ALDH9A1_40_Furan-2-carbaldehyde,-7.11,OK
A17-new-ALDH9A1_41_Indole-3-acetaldehyde,-6.58,OK
A17-new-ALDH9A1_42_Glutamate-5-semialdehyde,-6.33,OK
A17-new-ALDH9A1_43_Glutamate-1-semialdehyde,-5.4,OK
A17-new-ALDH9A1_44_glutarate semialdehyde,-6.43,OK
A17-new-ALDH9A1_45_adipate semialdehyde,-6.56,OK
A17-new-ALDH9A1_46_Succinic semialdehyde,-6.09,OK
A17-new-ALDH9A1_47_methylmalonate semialdehyde,-6.16,OK
A17-new-ALDH9A1_48_alpha-aminoadipate semialdehyde,-6.61,OK
A17-new-ALDH9A1_49_2-Aminomuconic semialdehyde,-5.78,OK
A17-new-ALDH9A1_4_malonaldehyde,-5.66,OK
A17-new-ALDH9A1_50_10-formyltetrahydrofolate,,OK
A17-new-ALDH9A1_51_6R-Tetrahydrofolic acid,-7.83,OK
A17-new-ALDH9A1_52_Triose phosphate,-5.69,OK
A17-new-ALDH9A1_53_Pyridoxal phosphate,-6.55,OK
A17-new-ALDH9A1_54_Methanol,-5.43,OK
A17-new-ALDH9A1_55_Ethanol,-5.7,OK
A17-new-ALDH9A1_56_S-hydroxy-methylglutathione,-7.8,OK
A17-new-ALDH9A1_57_S-3-oxopropylglutathione,-7.97,OK
A17-new-ALDH9A1_58_S-(4-oxobutan-2-yl)glutathione,-8.23,OK
A17-new-ALDH9A1_59_4-Hydroxynonenal_glutathione,-9.53,OK
A17-new-ALDH9A1_5_butyraldehyde,-6.17,OK
A17-new-ALDH9A1_60_S-Formylglutathione,-7.12,OK
A17-new-ALDH9A1_6_amylaldehyde,-6.26,OK
A17-new-ALDH9A1_7_glutaraldehyde,-6.4,OK
A17-new-ALDH9A1_8_hexanal,-6.6,OK
A17-new-ALDH9A1_9_2-hydroxypropionaldehyde,-5.91,OK
A18_10_4-guanidinobutyraldehyde,-4.68,OK
A18_11_prop-2-enal,-5.45,OK
A18_12_prop-2-ynal,-6.03,OK
A18_13_(2E)-but-2-enal,-5.91,OK
A18_14_trans-2-Hexenal,-6.8,OK
A18_15_heptanal,-6.95,OK
A18_16_octanaldehyde,-7.42,OK
A18_17_nonanal,-7.56,OK
A18_18_decanal,-7.58,OK
A18_19_dodecanal,-8.53,OK
A18_1_formaldehyde,-5.44,OK
A18_20_Citral,-8.12,OK
A18_21_cis-2-Octenal,,merge_failed
A18_22_trans-2-Octenal,-7.49,OK
A18_23_4-Hydroxynonenal,-7.24,OK
A18_24_Tetradecanal,-8.95,OK
A18_25_hexadecanal,-9.92,OK
A18_26_trans-2-hexadecenal,-9.72,OK
A18_27_Benzaldehyde,-7.39,OK
A18_28_Phenylacetaldehyde,-6.97,OK
A18_29_Salicylaldehyde,-6.8,OK
A18_2_acetaldehyde,-5.62,OK
"A18_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",,no_sdf
"A18_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",-10.54,OK
A18_32_9-cis-Retinal,-10.68,OK
A18_33_11-cis-Retinol,-10.5,OK
A18_34_4-hydroxy-2-nonenal,-7.57,OK
A18_35_Cinnamaldehyde,-7.93,OK
A18_36_3-(4-Isopropylphenyl)-2-methylpropanal,-8.74,OK
A18_37_thiobenzaldehyde,-6.83,OK
"A18_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",-5.73,OK
A18_39_4-nitrobenzaldehyde,-6.73,OK
A18_3_propylaldehyde,-5.81,OK
A18_40_Furan-2-carbaldehyde,-8.58,OK
A18_41_Indole-3-acetaldehyde,-7.17,OK
A18_42_Glutamate-5-semialdehyde,-6.13,OK
A18_43_Glutamate-1-semialdehyde,-6.13,OK
A18_44_glutarate semialdehyde,-6.49,OK
A18_45_adipate semialdehyde,-6.72,OK
A18_46_Succinic semialdehyde,-6.25,OK
A18_47_methylmalonate semialdehyde,-5.98,OK
A18_48_alpha-aminoadipate semialdehyde,-6.21,OK
A18_49_2-Aminomuconic semialdehyde,-6.02,OK
A18_4_malonaldehyde,-6.12,OK
A18_50_10-formyltetrahydrofolate,,no_sdf
A18_51_6R-Tetrahydrofolic acid,,no_sdf
A18_52_Triose phosphate,-6.22,OK
A18_53_Pyridoxal phosphate,-7.25,OK
A18_54_Methanol,,no_sdf
A18_55_Ethanol,-5.37,OK
A18_56_S-hydroxy-methylglutathione,-6.73,OK
A18_57_S-3-oxopropylglutathione,-7.4,OK
A18_58_S-(4-oxobutan-2-yl)glutathione,-7.69,OK
A18_59_4-Hydroxynonenal_glutathione,-8.98,OK
A18_5_butyraldehyde,-6.21,OK
A18_60_S-Formylglutathione,-6.74,OK
A18_6_amylaldehyde,-6.63,OK
A18_7_glutaraldehyde,-6.53,OK
A18_8_hexanal,-6.77,OK
A18_9_2-hydroxypropionaldehyde,-6.04,OK
A19_10_4-guanidinobutyraldehyde,-5.21,OK
A19_11_prop-2-enal,-5.92,OK
A19_12_prop-2-ynal,-5.84,OK
A19_13_(2E)-but-2-enal,-5.98,OK
A19_14_trans-2-Hexenal,-6.55,OK
A19_15_heptanal,-6.63,OK
A19_16_octanaldehyde,-6.54,OK
A19_17_nonanal,-7.09,OK
A19_18_decanal,,merge_failed
A19_19_dodecanal,-7.19,OK
A19_1_formaldehyde,-5.32,OK
A19_20_Citral,,OK
A19_21_cis-2-Octenal,,merge_failed
A19_22_trans-2-Octenal,-6.51,OK
A19_23_4-Hydroxynonenal,-6.41,OK
A19_24_Tetradecanal,,OK
A19_25_hexadecanal,-8.27,OK
A19_26_trans-2-hexadecenal,-7.23,OK
A19_27_Benzaldehyde,-6.02,OK
A19_28_Phenylacetaldehyde,-6.46,OK
A19_29_Salicylaldehyde,-7.25,OK
A19_2_acetaldehyde,-5.39,OK
"A19_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",-5.89,OK
