complex,protein,substrate,total,CC,CO,CN,SC,polar,hydrophobic,dG_kcal_mol,distance_A,carbon_num
B1_26_trans-2-hexadecenal,B1,trans-2-hexadecenal,160,87,37,23,9,4,87,-7.31,,
B1_27_Benzaldehyde,B1,Benzaldehyde,83,52,17,11,0,3,52,-6.13,,
B1_28_Phenylacetaldehyde,B1,Phenylacetaldehyde,97,72,13,12,0,0,72,-6.43,,
B1_29_Salicylaldehyde,B1,Salicylaldehyde,43,15,20,2,1,5,15,-5.96,,
B1_2_acetaldehyde,B1,acetaldehyde,42,16,14,5,0,7,16,-5.78,,2.0
"B1_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",B1,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",34,13,14,2,0,5,13,-5.68,,
"B1_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",B1,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",119,89,22,6,0,2,89,-8.63,,
B1_32_9-cis-Retinal,B1,9-cis-Retinal,104,82,13,6,2,1,82,-7.09,,
B1_33_11-cis-Retinol,B1,11-cis-Retinol,172,105,41,19,6,1,105,-8.96,,
B1_34_4-hydroxy-2-nonenal,B1,4-hydroxy-2-nonenal,81,43,26,6,1,5,43,-6.15,,
B1_35_Cinnamaldehyde,B1,Cinnamaldehyde,82,48,22,11,0,1,48,-6.48,,
B1_36_3-(4-Isopropylphenyl)-2-methylpropanal,B1,3-(4-Isopropylphenyl)-2-methylpropanal,131,92,20,19,0,0,92,-8.2,,
B1_37_thiobenzaldehyde,B1,thiobenzaldehyde,85,41,18,6,16,4,41,-6.45,,
"B1_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",B1,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",69,16,33,2,0,18,16,-5.81,,
B1_39_4-nitrobenzaldehyde,B1,4-nitrobenzaldehyde,127,41,44,17,7,18,41,-6.8,,
B1_3_propylaldehyde,B1,propylaldehyde,35,17,12,2,1,3,17,-5.81,,3.0
B1_40_Furan-2-carbaldehyde,B1,Furan-2-carbaldehyde,184,60,52,24,9,22,60,-6.93,,
B1_41_Indole-3-acetaldehyde,B1,Indole-3-acetaldehyde,91,60,19,9,2,1,60,-6.31,,
B1_42_Glutamate-5-semialdehyde,B1,Glutamate-5-semialdehyde,83,36,25,10,0,12,36,-5.54,,
B1_43_Glutamate-1-semialdehyde,B1,Glutamate-1-semialdehyde,40,8,16,6,0,10,8,-5.59,,
B1_44_glutarate semialdehyde,B1,glutarate semialdehyde,101,32,41,7,3,18,32,-6.55,,
B1_45_adipate semialdehyde,B1,adipate semialdehyde,113,38,42,6,5,22,38,-6.74,,
B1_46_Succinic semialdehyde,B1,Succinic semialdehyde,92,36,30,12,0,14,36,-6.3,,
B1_47_methylmalonate semialdehyde,B1,methylmalonate semialdehyde,37,14,15,1,1,6,14,-5.79,,
B1_48_alpha-aminoadipate semialdehyde,B1,alpha-aminoadipate semialdehyde,82,35,20,12,2,13,35,-6.08,,
B1_49_2-Aminomuconic semialdehyde,B1,2-Aminomuconic semialdehyde,89,38,20,17,0,14,38,-5.49,,
B1_4_malonaldehyde,B1,malonaldehyde,55,21,18,6,0,10,21,-5.42,,
B1_50_10-formyltetrahydrofolate,B1,10-formyltetrahydrofolate,220,94,52,49,0,25,94,-7.12,,
B1_51_6R-Tetrahydrofolic acid,B1,6R-Tetrahydrofolic acid,149,46,49,26,0,28,46,-6.64,,
B1_52_Triose phosphate,B1,Triose phosphate,89,16,49,0,0,17,16,-5.67,,
B1_53_Pyridoxal phosphate,B1,Pyridoxal phosphate,216,66,68,29,2,39,66,-6.97,,
B1_54_Methanol,B1,Methanol,16,4,4,1,2,5,4,-5.46,,
B1_55_Ethanol,B1,Ethanol,21,12,6,2,0,1,12,-5.4,,
B1_56_S-hydroxy-methylglutathione,B1,S-hydroxy-methylglutathione,70,19,18,16,4,13,19,-5.88,,
B1_57_S-3-oxopropylglutathione,B1,S-3-oxopropylglutathione,230,87,68,28,13,34,87,-7.73,,
B1_58_S-(4-oxobutan-2-yl)glutathione,B1,S-(4-oxobutan-2-yl)glutathione,151,58,44,18,7,24,58,-6.73,,
B1_59_4-Hydroxynonenal_glutathione,B1,4-Hydroxynonenal_glutathione,165,75,53,18,1,18,75,-7.52,,
B1_5_butyraldehyde,B1,butyraldehyde,35,16,13,1,0,5,16,-5.78,,4.0
B1_60_S-Formylglutathione,B1,S-Formylglutathione,128,41,37,26,1,23,41,-6.29,,
B1_6_amylaldehyde,B1,amylaldehyde,27,17,4,5,0,1,17,-5.81,,5.0
B1_7_glutaraldehyde,B1,glutaraldehyde,66,37,18,4,2,5,37,-5.92,,
B1_8_hexanal,B1,hexanal,80,41,24,9,1,5,41,-6.88,,6.0
B1_9_2-hydroxypropionaldehyde,B1,2-hydroxypropionaldehyde,69,21,30,5,0,13,21,-5.64,,
B2_10_4-guanidinobutyraldehyde,B2,4-guanidinobutyraldehyde,113,33,26,29,2,23,33,-5.11,,
B2_11_prop-2-enal,B2,prop-2-enal,21,10,8,2,0,1,10,-5.48,,
B2_12_prop-2-ynal,B2,prop-2-ynal,27,14,8,4,0,1,14,-5.65,,
B2_13_(2E)-but-2-enal,B2,(2E)-but-2-enal,33,11,14,2,0,6,11,-5.72,,
B2_14_trans-2-Hexenal,B2,trans-2-Hexenal,25,21,2,1,1,0,21,-5.96,,
B2_15_heptanal,B2,heptanal,102,52,30,8,5,7,52,-7.23,,7.0
B2_16_octanaldehyde,B2,octanaldehyde,106,58,29,8,5,6,58,-6.99,,8.0
B2_17_nonanal,B2,nonanal,118,64,36,11,3,4,64,-7.15,,9.0
B2_18_decanal,B2,decanal,111,62,29,7,5,8,62,-7.31,,10.0
B2_19_dodecanal,B2,dodecanal,123,68,36,11,3,5,68,-7.39,,12.0
B2_1_formaldehyde,B2,formaldehyde,21,5,8,4,0,4,5,-5.31,,1.0
B2_20_Citral,B2,Citral,97,71,16,4,0,6,71,-7.26,,
B2_22_trans-2-Octenal,B2,trans-2-Octenal,79,66,8,3,0,2,66,-7.09,,
B2_23_4-Hydroxynonenal,B2,4-Hydroxynonenal,87,61,17,6,0,3,61,-6.46,,
B2_24_Tetradecanal,B2,Tetradecanal,139,85,28,9,7,10,85,-8.04,,14.0
B2_25_hexadecanal,B2,hexadecanal,177,98,47,15,9,8,98,-7.14,,16.0
B2_26_trans-2-hexadecenal,B2,trans-2-hexadecenal,76,58,8,4,6,0,58,-7.1,,
B2_27_Benzaldehyde,B2,Benzaldehyde,58,38,14,4,0,2,38,-6.11,,
B2_28_Phenylacetaldehyde,B2,Phenylacetaldehyde,65,47,10,5,0,3,47,-6.18,,
B2_29_Salicylaldehyde,B2,Salicylaldehyde,62,34,14,4,3,7,34,-6.25,,
B2_2_acetaldehyde,B2,acetaldehyde,18,9,3,4,0,2,9,-5.79,,2.0
"B2_30_(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",B2,"(E)-3-(3,4-Dihydroxyphenyl)prop-2-enal",48,27,9,7,0,5,27,-6.06,,
"B2_31_(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",B2,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenal",132,65,45,17,0,5,65,-7.99,,
B2_32_9-cis-Retinal,B2,9-cis-Retinal,163,104,34,10,9,6,104,-10.26,,
B2_33_11-cis-Retinol,B2,11-cis-Retinol,202,125,38,22,10,7,125,-10.7,,
B2_34_4-hydroxy-2-nonenal,B2,4-hydroxy-2-nonenal,125,63,39,13,0,10,63,-5.89,,
B2_35_Cinnamaldehyde,B2,Cinnamaldehyde,65,55,2,3,5,0,55,-7.26,,
B2_36_3-(4-Isopropylphenyl)-2-methylpropanal,B2,3-(4-Isopropylphenyl)-2-methylpropanal,135,102,10,22,0,1,102,-7.8,,
B2_37_thiobenzaldehyde,B2,thiobenzaldehyde,64,43,12,4,5,0,43,-6.75,,
"B2_38_(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",B2,"(2R)-2-[(2S,3R,4S)-3,4-Dihydroxy-5-oxo -tetrahydrofuran-2-yl]-2-hydroxy-acetaldehyde",66,25,28,2,2,9,25,-6.09,,
B2_39_4-nitrobenzaldehyde,B2,4-nitrobenzaldehyde,56,14,25,8,0,9,14,-6.6,,
B2_3_propylaldehyde,B2,propylaldehyde,22,12,5,3,0,2,12,-5.54,,3.0
B2_40_Furan-2-carbaldehyde,B2,Furan-2-carbaldehyde,127,52,33,10,0,25,52,-6.78,,
B2_41_Indole-3-acetaldehyde,B2,Indole-3-acetaldehyde,51,30,10,7,0,4,30,-6.36,,
B2_42_Glutamate-5-semialdehyde,B2,Glutamate-5-semialdehyde,52,16,18,9,0,9,16,-5.83,,
B2_43_Glutamate-1-semialdehyde,B2,Glutamate-1-semialdehyde,78,23,19,20,0,16,23,-5.58,,
B2_44_glutarate semialdehyde,B2,glutarate semialdehyde,106,43,35,12,0,16,43,-6.29,,
B2_45_adipate semialdehyde,B2,adipate semialdehyde,111,50,40,8,0,13,50,-6.34,,
B2_46_Succinic semialdehyde,B2,Succinic semialdehyde,33,8,18,1,0,6,8,-5.71,,
B2_47_methylmalonate semialdehyde,B2,methylmalonate semialdehyde,33,14,12,1,0,6,14,-5.7,,
B2_48_alpha-aminoadipate semialdehyde,B2,alpha-aminoadipate semialdehyde,117,48,39,11,0,19,48,-5.88,,
B2_49_2-Aminomuconic semialdehyde,B2,2-Aminomuconic semialdehyde,85,18,35,17,0,15,18,-5.86,,
B2_4_malonaldehyde,B2,malonaldehyde,71,26,23,9,0,13,26,-5.63,,
B2_50_10-formyltetrahydrofolate,B2,10-formyltetrahydrofolate,272,111,78,42,1,40,111,-6.72,,
B2_51_6R-Tetrahydrofolic acid,B2,6R-Tetrahydrofolic acid,310,118,88,58,4,42,118,,,
B2_52_Triose phosphate,B2,Triose phosphate,46,3,20,0,0,16,3,-5.57,,
B2_53_Pyridoxal phosphate,B2,Pyridoxal phosphate,171,74,40,27,0,23,74,,,
B2_54_Methanol,B2,Methanol,24,8,10,2,0,4,8,-5.38,,
B2_55_Ethanol,B2,Ethanol,26,13,5,5,0,3,13,-5.78,,
B2_56_S-hydroxy-methylglutathione,B2,S-hydroxy-methylglutathione,125,47,40,17,8,13,47,-6.35,,
B2_57_S-3-oxopropylglutathione,B2,S-3-oxopropylglutathione,266,89,95,19,15,48,89,-6.72,,
B2_58_S-(4-oxobutan-2-yl)glutathione,B2,S-(4-oxobutan-2-yl)glutathione,138,52,50,12,7,17,52,-6.86,,
B2_59_4-Hydroxynonenal_glutathione,B2,4-Hydroxynonenal_glutathione,128,51,39,16,3,19,51,-7.77,,
B2_5_butyraldehyde,B2,butyraldehyde,33,13,12,4,0,4,13,-5.74,,4.0
B2_60_S-Formylglutathione,B2,S-Formylglutathione,136,44,46,20,0,26,44,-5.79,,
B2_6_amylaldehyde,B2,amylaldehyde,79,55,13,10,0,1,55,-6.42,,5.0
B2_7_glutaraldehyde,B2,glutaraldehyde,35,13,15,1,0,6,13,-5.78,,
B2_8_hexanal,B2,hexanal,42,20,8,12,0,2,20,-6.56,,6.0
B2_9_2-hydroxypropionaldehyde,B2,2-hydroxypropionaldehyde,49,16,22,4,0,7,16,-5.65,,
